series,hidden,intermediate,num_experts,topk,tokens,variant,mode,execution,l2_flush,repetitions,p50_rank0_us_median_of_repetitions,p50_rank0_us_min_repetition,p50_rank0_us_max_repetition,max_rank_p50_us_median_of_repetitions,max_rank_p50_us_min_repetition,max_rank_p50_us_max_repetition
characterization,7168,2048,256,8,1024,bf16,kernel,graph,False,3,426.5439957380295,426.256000995636,426.9919991493225,426.5439957380295,426.36799812316895,426.9919991493225
characterization,7168,2048,256,8,1024,ikr,forward,eager,False,3,2037.168025970459,2036.2240076065063,2037.6639366149902,2037.519931793213,2036.512017250061,2038.0960702896118
characterization,7168,2048,256,8,1024,ikr,forward,graph,False,3,1973.151981830597,1972.5760221481323,1973.743975162506,1973.151981830597,1972.7839827537537,1973.743975162506
characterization,7168,2048,256,8,1024,ikr,kernel,eager,False,3,252.03199684619904,251.99998915195465,252.6559978723526,252.03199684619904,251.99998915195465,252.6559978723526
characterization,7168,2048,256,8,1024,ikr,kernel,graph,False,3,251.583993434906,250.94400346279144,251.72799825668335,251.63200497627258,251.00798904895782,251.72799825668335
characterization,7168,2048,256,8,2048,bf16,forward,eager,False,3,4125.792026519775,4124.272108078003,4127.808094024658,4125.792026519775,4124.272108078003,4127.808094024658
characterization,7168,2048,256,8,2048,bf16,forward,graph,False,3,4060.1441860198975,4059.983968734741,4060.6398582458496,4060.1441860198975,4059.983968734741,4060.6398582458496
characterization,7168,2048,256,8,2048,bf16,kernel,eager,False,3,696.4479982852936,695.7760155200958,697.4240243434906,697.055995464325,696.0159838199615,697.4240243434906
characterization,7168,2048,256,8,2048,bf16,kernel,graph,False,3,693.0079758167267,692.9120123386383,693.231999874115,693.0079758167267,692.9120123386383,693.231999874115
characterization,7168,2048,256,8,2048,ikr,forward,eager,False,3,3782.6560735702515,3782.415986061096,3783.2000255584717,3782.75203704834,3782.528042793274,3783.4880352020264
characterization,7168,2048,256,8,2048,ikr,forward,graph,False,3,3721.343994140625,3720.288038253784,3721.6960191726685,3721.343994140625,3720.3359603881836,3721.6960191726685
characterization,7168,2048,256,8,2048,ikr,kernel,eager,False,3,353.87200117111206,352.960005402565,354.3200045824051,353.87200117111206,353.2480001449585,354.8000007867813
characterization,7168,2048,256,8,2048,ikr,kernel,graph,False,3,352.6879996061325,351.6640067100525,354.0320098400116,352.6879996061325,351.6640067100525,354.14399206638336
characterization,7168,2048,256,8,4096,bf16,forward,eager,False,3,8026.336193084717,8024.896144866943,8026.768207550049,8026.639938354492,8025.15172958374,8026.768207550049
characterization,7168,2048,256,8,4096,bf16,forward,graph,False,3,7960.432052612305,7959.072113037109,7961.024045944214,7960.783958435059,7959.072113037109,7961.024045944214
characterization,7168,2048,256,8,4096,bf16,kernel,eager,False,3,1261.5200281143188,1259.2960000038147,1262.1600031852722,1261.5200281143188,1259.328007698059,1262.1600031852722
characterization,7168,2048,256,8,4096,bf16,kernel,graph,False,3,1256.335973739624,1255.952000617981,1257.7439546585083,1256.335973739624,1255.952000617981,1258.3199739456177
characterization,7168,2048,256,8,4096,ikr,forward,eager,False,3,7360.896110534668,7360.032081604004,7361.2000942230225,7361.263990402222,7360.191822052002,7361.520051956177
characterization,7168,2048,256,8,4096,ikr,forward,graph,False,3,7297.887802124023,7296.479940414429,7297.936201095581,7297.919988632202,7296.479940414429,7298.207998275757
characterization,7168,2048,256,8,4096,ikr,kernel,eager,False,3,598.2080101966858,598.0159938335419,600.7040143013,598.2080101966858,598.0159938335419,600.7040143013
characterization,7168,2048,256,8,4096,ikr,kernel,graph,False,3,597.4720120429993,596.3039994239807,598.3199775218964,597.7280139923096,596.528023481369,598.3679890632629
characterization,7168,2048,256,8,8192,bf16,forward,eager,False,3,15903.791904449463,15903.007984161377,15904.51192855835,15903.791904449463,15903.007984161377,15904.51192855835
characterization,7168,2048,256,8,8192,bf16,forward,graph,False,3,15843.472003936768,15840.944290161133,15847.551822662354,15843.472003936768,15842.127799987793,15847.551822662354
characterization,7168,2048,256,8,8192,bf16,kernel,eager,False,3,2425.071954727173,2424.8000383377075,2426.624059677124,2425.600051879883,2425.168037414551,2426.624059677124
characterization,7168,2048,256,8,8192,bf16,kernel,graph,False,3,2421.296000480652,2421.247959136963,2421.3759899139404,2421.296000480652,2421.247959136963,2421.3759899139404
characterization,7168,2048,256,8,8192,ikr,forward,eager,False,3,14592.592239379883,14590.767860412598,14594.591617584229,14592.959880828857,14591.359615325928,14594.591617584229
characterization,7168,2048,256,8,8192,ikr,forward,graph,False,3,14532.25564956665,14528.800010681152,14533.663749694824,14532.800197601318,14528.800010681152,14533.663749694824
characterization,7168,2048,256,8,8192,ikr,kernel,eager,False,3,1111.952006816864,1111.199975013733,1112.6880049705505,1111.9840145111084,1111.2160086631775,1112.6880049705505
characterization,7168,2048,256,8,8192,ikr,kernel,graph,False,3,1108.7839603424072,1108.464002609253,1109.600007534027,1108.7839603424072,1108.464002609253,1109.600007534027
characterization,7168,3072,384,6,8,bf16,forward,eager,False,3,532.0160090923309,529.4719934463501,532.287985086441,532.287985086441,529.7759771347046,532.4159860610962
characterization,7168,3072,384,6,8,bf16,forward,graph,False,3,306.40000104904175,306.11199140548706,306.8480044603348,306.43200874328613,306.11199140548706,306.8480044603348
characterization,7168,3072,384,6,8,bf16,kernel,eager,False,3,202.28800177574158,202.27199792861938,202.36799865961075,202.4960070848465,202.27199792861938,202.71999388933182
characterization,7168,3072,384,6,8,bf16,kernel,graph,False,3,198.7999975681305,198.7840011715889,198.88000190258026,198.7999975681305,198.7840011715889,198.88000190258026
characterization,7168,3072,384,6,8,ikr,forward,eager,False,3,512.6399993896484,509.39199328422546,513.7760043144226,512.83198595047,509.39199328422546,513.7760043144226
characterization,7168,3072,384,6,8,ikr,forward,graph,False,3,296.9279885292053,296.54398560523987,298.67200553417206,296.9279885292053,296.54398560523987,298.67200553417206
characterization,7168,3072,384,6,8,ikr,kernel,eager,False,3,189.79200720787048,189.7440031170845,190.3200000524521,189.87199664115906,189.7440031170845,190.3200000524521
characterization,7168,3072,384,6,8,ikr,kernel,graph,False,3,189.31200355291367,189.10399824380875,189.34399634599686,189.31200355291367,189.10399824380875,189.37599658966064
characterization,7168,3072,384,6,64,bf16,forward,eager,False,3,585.6319963932037,585.2319896221161,586.2559974193573,585.6319963932037,585.2319896221161,586.2559974193573
characterization,7168,3072,384,6,64,bf16,forward,graph,False,3,541.3599908351898,540.8799946308136,541.9840216636658,541.3599908351898,540.992021560669,541.9840216636658
characterization,7168,3072,384,6,64,bf16,kernel,eager,False,3,366.2080019712448,365.9359961748123,366.2239909172058,366.2080019712448,365.9359961748123,366.2239909172058
characterization,7168,3072,384,6,64,bf16,kernel,graph,False,3,362.39999532699585,362.3040020465851,362.527996301651,362.39999532699585,362.3040020465851,362.527996301651
characterization,7168,3072,384,6,64,ikr,forward,eager,False,3,570.9600150585175,570.7200169563293,571.1199939250946,571.0399746894836,570.7200169563293,571.1199939250946
characterization,7168,3072,384,6,64,ikr,forward,graph,False,3,528.4319818019867,528.1919836997986,529.4879972934723,528.4319818019867,528.2559990882874,529.6000242233276
characterization,7168,3072,384,6,64,ikr,kernel,eager,False,3,352.01600193977356,351.3279855251312,352.06399857997894,352.03200578689575,351.3279855251312,352.06399857997894
characterization,7168,3072,384,6,64,ikr,kernel,graph,False,3,351.0880023241043,350.94401240348816,351.1199951171875,351.18401050567627,351.0560095310211,351.23200714588165
characterization,7168,3072,384,6,512,bf16,forward,eager,False,3,1410.6079936027527,1410.591959953308,1411.1039638519287,1410.7040166854858,1410.6079936027527,1411.1039638519287
characterization,7168,3072,384,6,512,bf16,forward,graph,False,3,1347.5679755210876,1347.424030303955,1348.4159708023071,1347.7120399475098,1347.424030303955,1348.4159708023071
characterization,7168,3072,384,6,512,bf16,kernel,eager,False,3,419.6000099182129,418.5120016336441,419.8399931192398,419.69600319862366,418.7519997358322,419.8399931192398
characterization,7168,3072,384,6,512,bf16,kernel,graph,False,3,414.8319959640503,414.7519916296005,414.8639887571335,414.8639887571335,414.8000031709671,414.91198539733887
characterization,7168,3072,384,6,512,ikr,forward,eager,False,3,1338.1440043449402,1337.8880023956299,1338.4000062942505,1338.1919860839844,1338.0320072174072,1338.4479880332947
characterization,7168,3072,384,6,512,ikr,forward,graph,False,3,1278.8159847259521,1278.4799933433533,1279.5040011405945,1278.8159847259521,1278.4799933433533,1279.5040011405945
characterization,7168,3072,384,6,512,ikr,kernel,eager,False,3,369.376003742218,369.08799409866333,370.0000047683716,369.376003742218,369.1039979457855,370.12800574302673
characterization,7168,3072,384,6,512,ikr,kernel,graph,False,3,368.1440055370331,368.01600456237793,368.23999881744385,368.1759983301163,368.1440055370331,368.23999881744385
characterization,7168,3072,384,6,1024,bf16,forward,eager,False,3,2293.503999710083,2293.1840419769287,2293.6800718307495,2293.6800718307495,2293.536067008972,2293.727993965149
characterization,7168,3072,384,6,1024,bf16,forward,graph,False,3,2234.8320484161377,2234.4319820404053,2235.568046569824,2234.879970550537,2234.4319820404053,2235.7919216156006
characterization,7168,3072,384,6,1024,bf16,kernel,eager,False,3,507.28002190589905,507.07200169563293,507.9199969768524,507.4079930782318,507.1359872817993,507.9199969768524
characterization,7168,3072,384,6,1024,bf16,kernel,graph,False,3,502.3200213909149,502.3040175437927,502.51200795173645,502.4479925632477,502.3680031299591,502.51200795173645
characterization,7168,3072,384,6,1024,ikr,forward,eager,False,3,2163.1840467453003,2163.167953491211,2163.3920669555664,2163.2320880889893,2163.167953491211,2163.3920669555664
characterization,7168,3072,384,6,1024,ikr,forward,graph,False,3,2106.6079139709473,2106.3040494918823,2106.99200630188,2106.6079139709473,2106.3040494918823,2106.99200630188
characterization,7168,3072,384,6,1024,ikr,kernel,eager,False,3,385.6959939002991,385.6319934129715,386.4160031080246,385.6959939002991,385.6319934129715,386.4160031080246
characterization,7168,3072,384,6,1024,ikr,kernel,graph,False,3,385.0879967212677,384.8159909248352,385.26399433612823,385.1360082626343,384.8159909248352,385.26399433612823
characterization,7168,3072,384,6,2048,bf16,forward,eager,False,3,4125.903844833374,4125.631809234619,4126.11198425293,4126.143932342529,4125.712156295776,4126.240015029907
characterization,7168,3072,384,6,2048,bf16,forward,graph,False,3,4062.800168991089,4061.9359016418457,4063.023805618286,4062.8960132598877,4061.9359016418457,4063.023805618286
characterization,7168,3072,384,6,2048,bf16,kernel,eager,False,3,697.9359984397888,697.7599859237671,698.2559859752655,698.1440186500549,697.983980178833,698.2559859752655
characterization,7168,3072,384,6,2048,bf16,kernel,graph,False,3,693.7919855117798,693.7280297279358,693.9040124416351,693.7919855117798,693.7280297279358,693.9839720726013
characterization,7168,3072,384,6,2048,ikr,forward,eager,False,3,3865.7920360565186,3865.16797542572,3865.9839630126953,3865.7920360565186,3865.391969680786,3865.9839630126953
characterization,7168,3072,384,6,2048,ikr,forward,graph,False,3,3804.7200441360474,3804.319977760315,3804.800033569336,3804.7999143600464,3804.4800758361816,3804.800033569336
characterization,7168,3072,384,6,2048,ikr,kernel,eager,False,3,437.74400651454926,436.92800402641296,437.9040002822876,437.77599930763245,436.92800402641296,437.9040002822876
characterization,7168,3072,384,6,2048,ikr,kernel,graph,False,3,436.39999628067017,436.38400733470917,436.43198907375336,436.39999628067017,436.38400733470917,436.43198907375336
characterization,7168,3072,384,6,4096,bf16,forward,eager,False,3,7847.599983215332,7847.296237945557,7847.823858261108,7847.599983215332,7847.296237945557,7847.935914993286
characterization,7168,3072,384,6,4096,bf16,forward,graph,False,3,7766.432046890259,7765.0721073150635,7767.071962356567,7766.432046890259,7765.0721073150635,7767.071962356567
characterization,7168,3072,384,6,4096,bf16,kernel,eager,False,3,1071.3279843330383,1071.183979511261,1071.552038192749,1071.4399814605713,1071.407973766327,1071.7120170593262
characterization,7168,3072,384,6,4096,bf16,kernel,graph,False,3,1066.32000207901,1065.9679770469666,1067.3919916152954,1066.32000207901,1066.3040280342102,1067.3919916152954
characterization,7168,3072,384,6,4096,ikr,forward,eager,False,3,7345.968008041382,7345.135927200317,7347.264051437378,7345.968008041382,7345.423936843872,7347.264051437378
characterization,7168,3072,384,6,4096,ikr,forward,graph,False,3,7268.095970153809,7266.863822937012,7268.352031707764,7268.3680057525635,7266.863822937012,7268.463850021362
characterization,7168,3072,384,6,4096,ikr,kernel,eager,False,3,572.847992181778,572.5280046463013,573.6159980297089,572.847992181778,572.5280046463013,573.6159980297089
characterization,7168,3072,384,6,4096,ikr,kernel,graph,False,3,571.1359977722168,570.8959996700287,571.2479948997498,571.2960064411163,570.9120035171509,571.2960064411163
characterization,7168,3072,384,6,8192,bf16,forward,eager,False,3,15304.608345031738,15303.55167388916,15305.16767501831,15304.608345031738,15303.679943084717,15305.16767501831
characterization,7168,3072,384,6,8192,bf16,forward,graph,False,3,15240.848064422607,15239.504337310791,15242.511749267578,15240.975856781006,15239.984035491943,15242.511749267578
