run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
forward.jsonl,109,4,7168,32.0,cute_no_pdl,2.1638399362564087,1.8771199882030487,1.152744603357953
forward.jsonl,109,7,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,109,7,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,109,7,4096,32.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,109,7,4096,32.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,109,8,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,109,8,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,109,8,4096,32.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,109,8,4096,32.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,109,16,7168,1.0,cute_default,2.040960043668747,1.9180800020694733,1.0640640856829198
forward.jsonl,109,16,7168,1.0,cute_no_pdl,2.245759963989258,1.9180800020694733,1.170837484133217
forward.jsonl,109,16,7168,32.0,cute_default,2.122880071401596,1.959040015935898,1.0836328273710254
forward.jsonl,109,16,7168,32.0,cute_no_pdl,2.2867199778556824,1.959040015935898,1.1672655786784636
forward.jsonl,109,24,4096,1.0,cute_default,2.040960043668747,1.7132799327373505,1.1912589441282102
forward.jsonl,109,24,4096,1.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
forward.jsonl,109,24,4096,32.0,cute_default,2.0819200575351715,1.7132799327373505,1.2151663121442364
forward.jsonl,109,24,4096,32.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
forward.jsonl,109,128,4096,1.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
forward.jsonl,109,128,4096,1.0,cute_no_pdl,2.4076800048351283,2.040960043668747,1.1796801276458018
forward.jsonl,109,128,4096,32.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
forward.jsonl,109,128,4096,32.0,cute_no_pdl,2.409600019454956,2.040960043668747,1.1806208685612272
forward.jsonl,109,256,7168,1.0,cute_default,3.0643200874328613,2.7372801303863525,1.1194762470293271
forward.jsonl,109,256,7168,1.0,cute_no_pdl,3.1472000479698186,2.7372801303863525,1.1497544635760784
forward.jsonl,109,256,7168,32.0,cute_default,3.2256001234054565,3.1059199571609497,1.0385329203248057
forward.jsonl,109,256,7168,32.0,cute_no_pdl,3.3926400542259216,3.1059199571609497,1.0923140650820429
forward.jsonl,109,512,4096,1.0,cute_default,3.064959943294525,2.614400088787079,1.1723377597942473
forward.jsonl,109,512,4096,1.0,cute_no_pdl,3.2287999987602234,2.614400088787079,1.2350060775350526
forward.jsonl,109,512,4096,32.0,cute_default,3.064959943294525,2.6553601026535034,1.1542539711400004
forward.jsonl,109,512,4096,32.0,cute_no_pdl,3.2287999987602234,2.6553601026535034,1.215955604489832
forward.jsonl,109,1024,4096,1.0,cute_default,4.2528000473976135,3.8841599225997925,1.0949085856771517
forward.jsonl,109,1024,4096,1.0,cute_no_pdl,4.416640102863312,3.8841599225997925,1.1370901793114412
forward.jsonl,109,1024,4096,32.0,cute_default,4.211840033531189,3.842879980802536,1.0960113390404662
forward.jsonl,109,1024,4096,32.0,cute_no_pdl,4.416640102863312,3.842879980802536,1.1493047206592575
forward.jsonl,109,4096,7168,1.0,cute_default,22.97152042388916,17.155200242996216,1.3390412293944232
forward.jsonl,109,4096,7168,1.0,cute_no_pdl,23.053441047668457,17.155200242996216,1.3438164941898745
forward.jsonl,109,4096,7168,32.0,cute_default,25.901119709014893,18.097280263900757,1.4312161458139494
forward.jsonl,109,4096,7168,32.0,cute_no_pdl,26.105599403381348,18.097280263900757,1.4425150642914588
forward.jsonl,109,16384,4096,1.0,cute_default,92.90048122406006,91.5180826187134,1.0151051963261302
forward.jsonl,109,16384,4096,1.0,cute_no_pdl,92.8752040863037,91.5180826187134,1.014828998037955
forward.jsonl,109,16384,4096,32.0,cute_default,92.6799964904785,91.29280090332031,1.0151950161834473
forward.jsonl,109,16384,4096,32.0,cute_no_pdl,92.74912357330322,91.29280090332031,1.0159522180891916
reverse.jsonl,73,1,4096,1.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
reverse.jsonl,73,1,4096,1.0,cute_no_pdl,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,73,1,4096,32.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
reverse.jsonl,73,1,4096,32.0,cute_no_pdl,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,73,1,7168,1.0,cute_default,1.9180800020694733,1.8361599743366241,1.0446148641065143
reverse.jsonl,73,1,7168,1.0,cute_no_pdl,2.122880071401596,1.8361599743366241,1.1561520243727998
reverse.jsonl,73,1,7168,32.0,cute_default,1.9523199647665024,1.8220800161361694,1.0714787207350611
reverse.jsonl,73,1,7168,32.0,cute_no_pdl,2.1638399362564087,1.8220800161361694,1.1875658132977946
reverse.jsonl,73,2,4096,1.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,73,2,4096,1.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,73,2,4096,32.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,73,2,4096,32.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,73,3,4096,1.0,cute_default,1.959040015935898,1.6313600540161133,1.2008630535687668
reverse.jsonl,73,3,4096,1.0,cute_no_pdl,2.122880071401596,1.6313600540161133,1.301294626024126
reverse.jsonl,73,3,4096,32.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
reverse.jsonl,73,3,4096,32.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
reverse.jsonl,73,4,7168,1.0,cute_default,2.040960043668747,1.8828799575567245,1.0839565398089166
reverse.jsonl,73,4,7168,1.0,cute_no_pdl,2.2047999501228333,1.8828799575567245,1.1709721277100642
reverse.jsonl,73,4,7168,32.0,cute_default,1.959040015935898,1.8771199882030487,1.0436413379260165
reverse.jsonl,73,4,7168,32.0,cute_no_pdl,2.1638399362564087,1.8771199882030487,1.152744603357953
reverse.jsonl,73,7,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
reverse.jsonl,73,7,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
reverse.jsonl,73,7,4096,32.0,cute_default,1.9942399859428406,1.6313600540161133,1.2224401235235487
reverse.jsonl,73,7,4096,32.0,cute_no_pdl,2.1638399362564087,1.6313600540161133,1.3264024277960136
reverse.jsonl,73,8,4096,1.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
reverse.jsonl,73,8,4096,1.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
reverse.jsonl,73,8,4096,32.0,cute_default,2.0000000298023224,1.6710400581359863,1.196859417022764
reverse.jsonl,73,8,4096,32.0,cute_no_pdl,2.1638399362564087,1.6710400581359863,1.2949060830236059
reverse.jsonl,73,16,7168,1.0,cute_default,2.1638399362564087,1.959040015935898,1.1045409581501944
reverse.jsonl,73,16,7168,1.0,cute_no_pdl,2.2867199778556824,1.959040015935898,1.1672655786784636
reverse.jsonl,73,16,7168,32.0,cute_default,2.122880071401596,1.959040015935898,1.0836328273710254
reverse.jsonl,73,16,7168,32.0,cute_no_pdl,2.2867199778556824,1.959040015935898,1.1672655786784636
reverse.jsonl,73,24,4096,1.0,cute_default,2.0819200575351715,1.6723200678825378,1.2449291840235237
reverse.jsonl,73,24,4096,1.0,cute_no_pdl,2.245759963989258,1.6723200678825378,1.342900804170101
reverse.jsonl,73,24,4096,32.0,cute_default,2.0819200575351715,1.7132799327373505,1.2151663121442364
reverse.jsonl,73,24,4096,32.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
reverse.jsonl,73,128,4096,1.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
reverse.jsonl,73,128,4096,1.0,cute_no_pdl,2.3686400055885315,2.040960043668747,1.160551875053252
reverse.jsonl,73,128,4096,32.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
reverse.jsonl,73,128,4096,32.0,cute_no_pdl,2.409600019454956,2.040960043668747,1.1806208685612272
reverse.jsonl,73,256,7168,1.0,cute_default,3.0239999294281006,2.778240144252777,1.088458798525288
reverse.jsonl,73,256,7168,1.0,cute_no_pdl,3.187839984893799,2.778240144252777,1.14743140238915
reverse.jsonl,73,256,7168,32.0,cute_default,3.3107200264930725,3.1468799710273743,1.0520642849343278
reverse.jsonl,73,256,7168,32.0,cute_no_pdl,3.4745600819587708,3.1468799710273743,1.1041285698686554
reverse.jsonl,73,512,4096,1.0,cute_default,3.0239999294281006,2.6553601026535034,1.1388285628025423
reverse.jsonl,73,512,4096,1.0,cute_no_pdl,3.2287999987602234,2.6553601026535034,1.215955604489832
reverse.jsonl,73,512,4096,32.0,cute_default,3.057919889688492,2.653760015964508,1.152297069551367
