arch,model,campaign,hardware_cohort,source_cohort,hidden_size,intermediate_size,num_experts,top_k,num_tokens,activation,status,source_us,export_us,source_over_export,official_us,official_export_us,official_over_export,source_directional_disagreement,source_endpoint_drift,official_directional_disagreement,official_endpoint_drift
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,29,swiglu,PASS,84.767,84.703,1.000755581266307,64.416,84.703,0.7604925445379739,0.00035401392990075387,0.0005602505204431729,0.0005660441948492911,0.0004962856123698067
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,30,swiglu,PASS,86.65599999999999,86.592,1.000739098300074,64.831,86.592,0.748695029563932,0.0003476398842841011,0.00018480979029855682,0.00013402017841535052,0.0004781663093273991
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,31,swiglu,PASS,88.895,89.087,0.9978448033944347,65.664,89.087,0.7370772391033484,3.59465894796962e-05,0.00036010488054660783,0.0004895303999254974,0.0004873294346978696
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,32,swiglu,PASS,90.847,90.784,1.0006939548819174,65.63199999999999,90.784,0.7229467747620726,0.0003426401997306261,0.0003633720930231732,6.134361107390518e-05,0.00047233057045348303
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,1,swiglu,PASS,33.728,33.664,1.0019011406844107,35.552,33.664,1.056083650190114,0.0008854539702128905,0.0009208923744169484,0.00026088024117998376,0.0009208923744169484
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,2,swiglu,PASS,43.871,44.0,0.9970681818181819,52.992,44.0,1.2043636363636363,5.373698612309852e-06,0.0014545785131480082,0.00022493121496536261,0.0014545785131480082
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,3,swiglu,PASS,58.879,58.751,1.0021786863202329,68.224,58.751,1.1612398086841076,0.0005242476787593597,0.0005446623093681158,0.001060371353309053,0.0005446623093681158
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,4,swiglu,PASS,69.248,69.216,1.0004623208506704,80.64,69.216,1.1650485436893205,0.00044844488014805783,0.00046232085067043904,5.271834381026519e-05,0.000997676219984478
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,5,swiglu,PASS,79.10300000000001,78.91199999999999,1.0024204176804543,91.32700000000001,78.91199999999999,1.1573271492295216,0.00039895816794199845,0.0007986815415821358,0.00010658699332322108,0.0007986815415821358
sm_100a,Qwen3-235B-A22B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,4096,1536,128,8,6,swiglu,PASS,89.02300000000001,88.64,1.0043208483754513,104.191,88.64,1.1754399819494585,0.00035912974564500377,0.0007298778296801478,4.663950909722381e-05,0.00015356339048777645
